PI_REFID,ReceiverGateInTime,ReceiverGateoutTime,PI_ZVA_NUMBER,PI_WERKS,PI_TRUCK_NO,PI_DRIVER_NO,PI_VECHICAL_STATUS,PI_VEHICLE_TYPE,PI_QA_STATUS,PI_CONTAINER_NO,DI_Id,DI_VehicleArrivalId,DI_IntraStateSapId,DI_AddedBy,DI_ModifiedBy,DI_LoadedLotNo,DI_LastMileTransporterId,DI_LastMileTransporter,DI_LoadingVendorId,DI_LoadingVendor,DI_LoadingChargesPerTon,DI_FreightChargesPerTon,DI_PickslipNo,GO_WbType,GO_WbName,GO_WbSerialNumber,GO_WbTicketNumber,GO_WbEmptyWt,GO_WbNetWt,GO_WbLoadWt,GO_GunnyWt,GO_GunnyLessNetWt,GO_BagType,GO_UnloadedLotNo,GO_UnLoadingVendorId,GO_UnLoadingVendor,GO_UnloadingChargePerTon,GO_NagaOutsideWBCopy,DI_IsTruck,DI_TrailerNo,DI_TruckNo,DI_ContainerNo,DI_IrsContainerDetailsId,DI_PickslipQty,DI_SalesInvoiceNo,DI_SealNumber,DI_PickSlipCopy,SAP_SendingPlant,SAP_SendingStorageLocation,SAP_PickslipQty,SAP_MaterialNo,SAP_Segment,SAP_WheatVariety,SAP_ReceivingPlant,SAP_ReceivingStorageLoc,SAP_StoPoNo,SAP_DeliveryNo,SAP_DeliveryDate,SenderGateOut,SenderGateIn,SendingWbLoadWt,SendingWbEmptyWt,SendingWbNetWt,SendingGunnyWt,SendingGunnyLessNetWt,SendingBagType,CON_sealNumber,CON_salesInvoiceNo,CON_eWayBillCopy,CON_nagaWbCopy,CON_saleInvoiceCopy,CON_StoPoNo,CON_DeliveryNo,GO_no_bags(1),BagType(2),GO_no_bags(2),BagType(3),GO_no_bags(3),"Total Duration"
4569, 2021-10-06  15:32:18 , 2021-10-06  16:19:45 ,RMIASR132100000001, 1111-NLFD  -  SILO ,TR78789,5698741230,12,TRUCK,,,1338,1609,1418,,,678,, TM  TRANSPORTS-CEPM6248B ,, GANESAN  APK  -  221571 ,678678.00,678.00,61020212, OUTSIDE  WB ,6GHJGHJ,678678678,,345,34189,34534,0,34189,N1,46456,, MURUGAN  APK  -  219771 ,456456,/DIGIGATE/PURCHASEPRO/2021/OCTOBER/06/IAS/NAGA_OUTSIDE_WB/RMIASR132100000001_TESTING_SAMPLE_WB_COPY-20211006161941.PDF,1,,TR78789,,,,,,/Digigate/Purchasepro/2021/October/06/IAS/RMIASR132100000001_Testing_sample_WB_copy-20211006151938.pdf,8117,AR01,18040,WHWL-S,LMPBHSL01N,MADHYAPRADESH-BHOPAL-SHARBATI,1111,FH01,1700026798,0350092920,20211001, 2021-10-06  15:19:38 , 2021-10-06  14:00:49 ,0,0,0,0,0,N1,,,,,,,,0,N3,0,N2,0,    
4620, 2021-10-07  13:24:56 , 2021-10-07  14:14:48 ,RMIASR072100000002, 1111-NLFD  -  SILO ,TR123,4563210789,12,TRUCK,,,1342,1617,1419,,,576567,, TM  TRANSPORTS-CEPM6248B ,, RANJAN  APK  -  220069 ,547567.00,123.00,71020212, OUTSIDE  WB ,11234,234234234,,456,45189,45645,0,45189,N1,123,, GANESAN  APK  -  221571 ,123,/DIGIGATE/PURCHASEPRO/2021/OCTOBER/07/IAS/NAGA_OUTSIDE_WB/RMIASR072100000002_SAMPLE_PDF-20211007141448.PDF,1,,TR123,,,,,,/Digigate/Purchasepro/2021/October/07/IAS/RMIASR072100000002_Testing_sample_WB_copy-20211007131834.pdf,8111,AR01,18040,WHWL-S,LMPBHSL01N,MADHYAPRADESH-BHOPAL-SHARBATI,1111,FH01,1700026798,0350092920,20211001, 2021-10-07  13:18:34 , 2021-10-07  13:06:33 ,0,0,0,0,0,N1,,,,,,,,0,N3,0,N2,0,    
4622, 2021-10-07  15:15:33 , 2021-10-07  16:47:56 ,RMIASR192100000065, 1111-NLFD  -  SILO ,TF123123,4875963210,12,TRUCK,,,1343,1620,1420,,,234234,, ASHWIN  EXIM  INDIA  (223871) ,, GANESAN  APK  -  221571 ,99999999.99,234234.00,7102021_1, OWN  WB ,,,AG05856,6630,17420,24050,0,17420,N1,123,, RANJAN  APK  -  220069 ,666,,1,,TF123123,,,,,,/Digigate/Purchasepro/2021/October/07/IAS/RMIASR192100000065_SAMPLE_PDF-20211007145257.pdf,1139,AR01,18040,WHWL-S,LMPBHSL01N,MADHYAPRADESH-BHOPAL-SHARBATI,1111,FH01,1700026798,0350092920,20211001, 2021-10-07  14:52:57 , 2021-10-07  14:49:28 ,5000,100,4900,0,4900,N1,,,,,,,,10,N3,20,N2,30,     1  Hours(s)  58  Minutes(s) 
4635, 2021-10-08  15:21:03 , 2021-10-08  15:34:25 ,RMIASW012100000562, 1111-NLFD  -  SILO ,TN65K4554,7708111325,12,TRUCK,,,1345,1623,1157,,,D2,, NLLD  410001 ,, GANESAN  APK  -  221571 ,12.00,12.00,3000023608, OWN  WB ,,,AG05851,14790,29940,44730,219,29721,B.665,0,, MURUGAN  APK  -  219771 ,12,,1,,TN65K4554,,,,,,/Digigate/Purchasepro/2021/October/08/IAS/RMIASW012100000562_Purchase_Pro.pdf.1.-20211008140723.pdf,1120,AR02,19481,WHWL-E,LUPETSE04N,UTTARPRADESH-ETAH-279,1111,FH01,1700026573,0350092158,20210723, 2021-10-08  14:07:23 , 2021-10-08  13:59:22 ,25990,6290,19700,219,19481,B.665,,,,,,,,5,B.580,3,,0,    
4637, 2021-10-08  18:32:16 , 2021-10-09  10:11:00 ,RMIASR122100000039, 1129-NLFD  -  MOOKAMBIGAI  GODOWN ,TH56745,4589671230,12,TRUCK,,,1346,1627,754,,,567567,, ASHWIN  EXIM  INDIA  (223871) ,, BALAJI  CONTRACTOR  -  223183 ,99999999.99,54567.00,3000023235, OWN  WB ,,,21,100,900,1000,253,647,B.665,123,, PARVATHY  LOGISTICS  -  210608 ,333,,1,,TH56745,,,,,,/Digigate/Purchasepro/2021/October/08/IAS/RMIASR122100000039_SAMPLE_PDF-20211008182953.pdf,1132,AL01,23997,WHP-T,PRJKOST02G,RAJASTHAN-KOTA-TUKUDI,1129,MK01,1700026111,0350090447,20210618, 2021-10-08  18:29:53 , 2021-10-08  15:13:20 ,33480,9230,24250,253,23997,B.665,,,,,,,,0,,0,,0,    
4638, 2021-10-09  09:40:32 , 2021-10-09  09:54:26 ,RMIASW012100000563, 1111-NLFD  -  SILO ,TN57BL3455,7708111327,12,TRUCK,,,1347,1628,30,,,L1,, NLLD  410001 ,, GANESAN  APK  -  221571 ,15.00,12.00,3000022505, OWN  WB ,,,AG05857,8820,21750,30570,346,21404,B.665,0,, MURUGAN  APK  -  219771 ,12,,1,,TN57BL3455,,,,,,/Digigate/Purchasepro/2021/October/09/IAS/RMIASW012100000563_Purchase_Pro._-20211009094015.pdf,1120,AR02,30774,WHWL-E,LGURKSE02N,GUJARAT-RAJKOT-LOK1,1111,FH01,1700025722,0350088097,20210510, 2021-10-09  09:40:15 , 2021-10-09  09:35:09 ,39940,8820,31120,346,30774,B.665,,,,,,,,0,,0,,0,    
4642, 2021-10-09  11:57:32 , 2021-10-09  12:29:30 ,RMIASTUT2100000083, 1111-NLFD  -  SILO ,RN348756,8547963210,12,TRUCK,,,1348,1629,10,,,22,, THILIPAN  TRANSPORT  (211764) ,, MURUGAN  APK  -  219771 ,33.00,11.00,3000022485, OWN  WB ,,,23,120,4980,5100,372,4608,N1,6767,, MURUGAN  APK  -  219771 ,777,,1,,RN348756,,,,,,/Digigate/Purchasepro/2021/October/09/IAS/Loading_WH_Incharge/RMIASTUT2100000083_Testing_sample_WB_copy__Copy-20211009113135.pdf,1114,K001,27048,WHR-E,RGURKJUSE02,GUJARAT-JUNAGADH-LOK1,1111,FH01,1700025724,0350088053,20210510, 2021-10-09  11:31:35 , 2021-10-09  10:41:16 ,37090,9670,27420,372,27048,N1,,,,,,,,10,N2,20,N3,30,    
4654, 2021-10-11  13:22:22 , 2021-10-11  13:32:24 ,RMIASW012100000564, 1111-NLFD  -  SILO ,TN57BG1233,7867786700,12,TRUCK,,,1352,1636,1393,,,L1,, NLLD  410001 ,, SASIKUMAR  CONTRACTOR  210597 ,11.00,12.00,3000023838, OWN  WB ,,,26,0,5000,5000,0,5000,0,0,, BALAJI  CONTRACTOR  -  223183 ,2,,1,,TN57BG1233,,,,,,/Digigate/Purchasepro/2021/October/11/IAS/Loading_WH_Incharge/RMIASW012100000564_12-20211011132154.pdf,1120,AR02,17430,WHWL-E,LUPETSE04N,UTTARPRADESH-ETAH-279,1111,FH01,1700026826,0350093072,20210809, 2021-10-11  13:21:54 , 2021-10-11  13:05:20 ,28340,10910,17430,0,17430,0,,,,,,,,0,,0,,0,    
4651, 2021-10-11  11:21:30 , 2021-10-11  15:39:01 ,RMIASR122100000040, 1111-NLFD  -  SILO ,TR1231231,5632147890,12,TRUCK,,,1350,1633,1422,,,345,, SEA  PRINCESS  LOGISTICS  (219836) ,, RANJAN  APK  -  220069 ,35345345.00,125.00,11102021, OUTSIDE  WB ,TEST,2234234,,1500,3500,5000,0,3500,N1,123,, MURUGAN  APK  -  219771 ,4545,/DIGIGATE/PURCHASEPRO/2021/OCTOBER/11/IAS/NAGA_OUTSIDE_WB/RMIASR122100000040_TESTING_SAMPLE_WB_COPY-20211011153901.PDF,1,,TR1231231,,,,,,/Digigate/Purchasepro/2021/October/11/IAS/Loading_WH_Incharge/RMIASR122100000040_Testing_sample_WB_copy__Copy-20211011112020.pdf,8116,AR01,18040,WHWL-S,LMPBHSL01N,UTTARPRADESH-ETAH-MQ3,1111,FH01,1700026798,0350092920,20211001, 2021-10-11  11:20:20 , 2021-10-11  11:05:45 ,5000,100,4900,0,4900,N1,,,,,,,,10,N3,20,N2,30,    
